idCorredor;IdEmpresa;IdOrigen;IdDestino;IdRetorno;OneWay;RoundTrip;TTA_Transporte;TTA_Cliente;IndTipo;Costo;Fecha;Activo;IdUsuario;equivalente;
412;2;PTO BS AS;CHACABUCO;PTO BS AS;250;500;4;5;1;23000;26/02/2020 00:00;1;3;7;167
413;2;PTO BS AS;GRAL ALVEAR;PTO BS AS;250;500;5;6;1;23000;26/02/2020 00:00;1;3;8;168
414;2;PTO BS AS;GRAL CABRERA;PTO BS AS;650;1300;10;12;1;40000;02/06/2020 00:00;1;3;9;169
415;2;PTO BS AS;GRAL PICO;PTO BS AS;600;1200;10;12;1;36000;26/02/2020 00:00;1;3;10;170
416;2;PTO BS AS;HUGHES;PTO BS AS;300;600;5;6;1;40000;13/04/2021 00:00;1;3;11;171
417;2;PTO BS AS;JESUS MARIA;PTO BS AS;750;1500;14;16;1;48000;26/02/2020 00:00;1;3;12;172
418;2;PTO BS AS;JUANA KOSLAY;PTO BS AS;850;1700;12;14;1;60000;26/02/2020 00:00;1;3;13;173
419;2;PTO BS AS;LEZAMA;PTO BS AS;160;320;3;4;1;20000;16/03/2020 00:00;1;3;18;174
420;2;PTO BS AS;LINCOLN;PTO BS AS;340;680;5;6;1;23000;26/02/2020 00:00;1;3;19;175
421;2;PTO BS AS;LOCAL;PTO BS AS;15;30;2;2;1;6000;28/02/2020 00:00;1;3;20;176
422;2;PTO BS AS;MAR DEL PLATA;PTO BS AS;420;840;7;8;1;38000;22/12/2020 00:00;1;3;21;177
423;2;PTO BS AS;MARI LAUQUEN;PTO BS AS;480;960;9;10;1;32000;04/07/2020 00:00;1;3;22;178
424;2;PTO BS AS;MURPHI;PTO BS AS;390;780;7;8;1;25000;29/02/2020 00:00;1;3;23;179
425;2;PTO BS AS;ORO VERDE;PTO BS AS;450;900;9;10;1;30000;29/02/2020 00:00;1;3;24;180
426;2;PTO BS AS;PTO SAN MARTIN;PTO BS AS;330;660;6;7;1;26000;10/08/2020 00:00;1;3;25;181
427;2;PTO BS AS;ROSARIO;PTO BS AS;300;600;5;6;1;27000;09/09/2020 00:00;1;3;26;182
428;2;PTO BS AS;SAN MIGUEL DEL MONTE;PTO BS AS;120;240;3;3;1;17000;16/03/2020 00:00;1;3;27;183
429;2;PTO BS AS;TIMBUES;PTO BS AS;340;680;6;7;1;49000;02/08/2021 00:00;1;3;28;184
430;2;PTO BS AS;TORTUGUITAS;PTO BS AS;30;60;1;1;1;11000;15/03/2021 00:00;1;3;29;185
431;2;PTO BS AS;VILLA CONSTITUCION;PTO BS AS;260;520;4;5;1;23000;29/02/2020 00:00;1;3;30;186
432;2;PTO BS AS;VILLA GOB GALVEZ;PTO BS AS;300;600;5;6;1;24000;29/02/2020 00:00;1;3;31;187
433;2;PTO BS AS;TICINO;PTO BS AS;605;1210;10;12;1;38000;04/07/2020 00:00;1;2;32;188
434;2;PTO BS AS;MERCEDES ;PTO BS AS;110;220;3;3;1;18000;10/03/2020 00:00;1;2;33;189
435;2;PTO BS AS;RUEDA;PTO BS AS;280;560;4;5;1;22000;16/03/2020 00:00;1;3;34;190
436;2;PTO BS AS;SANTA EUFEMIA;PTO BS AS;550;1100;8;10;1;37000;04/07/2020 00:00;1;2;35;191
437;2;PTO BS AS;AREQUITO;PTO BS AS;380;760;7;8;1;28000;09/04/2020 00:00;1;2;36;192
438;2;PTO BS AS;SAN JERONIMO SUD;PTO BS AS;340;680;7;8;1;24000;13/04/2020 00:00;1;2;37;193
439;2;PTO BS AS;CARNERILLO;PTO BS AS;660;1320;10;11;1;40000;24/08/2020 00:00;1;2;38;194
440;2;PTO BS AS;TEMPERLEY;PTO BS AS;20;40;1;2;1;6000;15/04/2020 00:00;1;2;39;195
441;2;PTO BS AS;CHIVILCOY;PTO BS AS;150;300;4;5;1;20000;15/04/2020 00:00;1;2;40;196
